	Name	X_1_1	exponent_1_1	X_1_2	exponent_1_2	X_2_1	exponent_2_1	X_2_2	exponent_2_2	dx	dc	dd
104	('dudy^-2_0^0', 'yplus^-1_eps^-1')	dudy	-2	0	0	yplus	-1	eps	-1	0.107239701068758	0.015601180191730997	0.0002094552385383308
105	('dudy^-2_0^0', 'yplus^-1_eps^1')	dudy	-2	0	0	yplus	-1	eps	1	0.035948807311147704	0.012659755041076097	1.5304974716756636e-05
106	('dudy^-2_0^0', 'yplus^-1_eps^2')	dudy	-2	0	0	yplus	-1	eps	2	0.03803478154286996	0.01276748326293763	1.7002733168243934e-05
107	('dudy^-2_0^0', 'yplus^1_eps^-2')	dudy	-2	0	0	yplus	1	eps	-2	0.07217351568779266	0.014851591943209392	0.00017577692339010076
108	('dudy^-2_0^0', 'yplus^1_eps^-1')	dudy	-2	0	0	yplus	1	eps	-1	0.08541161882686715	0.014544685786347142	0.0001898614016920932
109	('dudy^-2_0^0', 'yplus^1_eps^1')	dudy	-2	0	0	yplus	1	eps	1	0.2039844245385208	0.015416479160310255	0.0008921208388940073
110	('dudy^-2_0^0', 'yplus^1_eps^2')	dudy	-2	0	0	yplus	1	eps	2	0.03088474473589026	0.013786204517214663	2.2121172172154294e-05
111	('dudy^-2_0^0', 'yplus^2_eps^-2')	dudy	-2	0	0	yplus	2	eps	-2	0.06959208118538247	0.014899010436554045	0.00019049884869134584
112	('dudy^-2_0^0', 'yplus^2_eps^-1')	dudy	-2	0	0	yplus	2	eps	-1	0.08252410879136561	0.014937360790037338	0.00021945541165789366
113	('dudy^-2_0^0', 'yplus^2_eps^1')	dudy	-2	0	0	yplus	2	eps	1	0.1557611914199076	0.012650365369833586	0.00035959046859230945
114	('dudy^-2_0^0', 'yplus^2_eps^2')	dudy	-2	0	0	yplus	2	eps	2	0.2530904953781912	0.015132155644363172	0.001400492757702021
115	('dudy^-2_0^0', 'yplus^-2_u^-2')	dudy	-2	0	0	yplus	-2	u	-2	0.036754531051145393	0.013191563147988264	1.1328219743182628e-05
116	('dudy^-2_0^0', 'yplus^-2_u^-1')	dudy	-2	0	0	yplus	-2	u	-1	0.03844580437415382	0.0128756526941121	1.3319508490227439e-05
117	('dudy^-2_0^0', 'yplus^-2_u^1')	dudy	-2	0	0	yplus	-2	u	1	0.03749245367151841	0.012559221417642277	2.1505724155020537e-05
118	('dudy^-2_0^0', 'yplus^-2_u^2')	dudy	-2	0	0	yplus	-2	u	2	0.032668717068199626	0.012532414940136427	1.508944559407556e-05
119	('dudy^-2_0^0', 'yplus^-1_u^-2')	dudy	-2	0	0	yplus	-1	u	-2	0.03720511638489047	0.012653705731288562	1.2338314384253681e-05
120	('dudy^-2_0^0', 'yplus^-1_u^-1')	dudy	-2	0	0	yplus	-1	u	-1	0.03709822102423938	0.01251086159591931	1.6043360604359353e-05
121	('dudy^-2_0^0', 'yplus^-1_u^1')	dudy	-2	0	0	yplus	-1	u	1	0.03617014973800531	0.012267074619080501	1.2913263656799536e-05
122	('dudy^-2_0^0', 'yplus^-1_u^2')	dudy	-2	0	0	yplus	-1	u	2	0.046337438740698435	0.012993021265723126	2.1209873124128455e-05
123	('dudy^-2_0^0', 'yplus^1_u^-2')	dudy	-2	0	0	yplus	1	u	-2	0.08786169762054429	0.013370550566389146	0.00011570741104266756
124	('dudy^-2_0^0', 'yplus^1_u^-1')	dudy	-2	0	0	yplus	1	u	-1	0.09953130910873577	0.01269327032606377	0.00015963124499459287
125	('dudy^-2_0^0', 'yplus^1_u^1')	dudy	-2	0	0	yplus	1	u	1	0.11684982227835297	0.012879891236321125	0.00024628029927247153
126	('dudy^-2_0^0', 'yplus^1_u^2')	dudy	-2	0	0	yplus	1	u	2	0.12223312994425597	0.01310467558118944	0.00028432677640900106
127	('dudy^-2_0^0', 'yplus^2_u^-2')	dudy	-2	0	0	yplus	2	u	-2	0.1002767884008124	0.013993354138093918	0.00021960914698286485
128	('dudy^-2_0^0', 'yplus^2_u^-1')	dudy	-2	0	0	yplus	2	u	-1	0.10325010704095074	0.014250789756738432	0.0002441943335160986
129	('dudy^-2_0^0', 'yplus^2_u^1')	dudy	-2	0	0	yplus	2	u	1	0.10656403974329004	0.014752478428224431	0.00028550052742957983
130	('dudy^-2_0^0', 'yplus^2_u^2')	dudy	-2	0	0	yplus	2	u	2	0.10725253157598763	0.014893277708955925	0.00030196455073092207
131	('dudy^-2_0^0', 'k^-2_eps^-2')	dudy	-2	0	0	k	-2	eps	-2	0.07571250819905885	0.014832859590136077	0.00019127481798964202
132	('dudy^-2_0^0', 'k^-2_eps^-1')	dudy	-2	0	0	k	-2	eps	-1	0.08819712335810637	0.01458212960274584	0.00020564448674063887
133	('dudy^-2_0^0', 'k^-2_eps^1')	dudy	-2	0	0	k	-2	eps	1	0.03198798731781784	0.012671140869325592	8.09350791339122e-06
134	('dudy^-2_0^0', 'k^-2_eps^2')	dudy	-2	0	0	k	-2	eps	2	0.031039901330918166	0.012619675667434691	8.22232921468388e-06
135	('dudy^-2_0^0', 'k^-1_eps^-2')	dudy	-2	0	0	k	-1	eps	-2	0.07113476626542714	0.014728395042933967	0.0001608398440517604
136	('dudy^-2_0^0', 'k^-1_eps^-1')	dudy	-2	0	0	k	-1	eps	-1	0.07768980241613992	0.013962368039241843	0.00015129963390935033
137	('dudy^-2_0^0', 'k^-1_eps^1')	dudy	-2	0	0	k	-1	eps	1	0.031064720694051702	0.012386000834271904	8.91012992351001e-06
138	('dudy^-2_0^0', 'k^-1_eps^2')	dudy	-2	0	0	k	-1	eps	2	0.03066042053461729	0.012643227560695768	9.28831252084481e-06
139	('dudy^-2_0^0', 'k^1_eps^-2')	dudy	-2	0	0	k	1	eps	-2	0.05293760204460711	0.014812965956805162	8.115046940169035e-05
140	('dudy^-2_0^0', 'k^1_eps^-1')	dudy	-2	0	0	k	1	eps	-1	0.03401838915660854	0.014584721283485693	2.3462893504382393e-05
141	('dudy^-2_0^0', 'k^1_eps^1')	dudy	-2	0	0	k	1	eps	1	0.036864735619515074	0.012802537880590631	3.570322648766224e-05
142	('dudy^-2_0^0', 'k^1_eps^2')	dudy	-2	0	0	k	1	eps	2	0.031462624723915686	0.012824120183696124	2.52196668773205e-05
143	('dudy^-2_0^0', 'k^2_eps^-2')	dudy	-2	0	0	k	2	eps	-2	0.0374489279668081	0.01514675982768372	3.783364868765937e-05
144	('dudy^-2_0^0', 'k^2_eps^-1')	dudy	-2	0	0	k	2	eps	-1	0.024319025167076114	0.016016274908336178	1.1371160674565543e-05
145	('dudy^-2_0^0', 'k^2_eps^1')	dudy	-2	0	0	k	2	eps	1	0.03631673440244966	0.01389070993187642	5.3791935554714855e-05
146	('dudy^-2_0^0', 'k^2_eps^2')	dudy	-2	0	0	k	2	eps	2	0.042513265882856865	0.013005018351964251	6.561493453953715e-05
147	('dudy^-2_0^0', 'k^-2_u^-2')	dudy	-2	0	0	k	-2	u	-2	0.03589075696447863	0.01323503152826604	1.1001926760923954e-05
148	('dudy^-2_0^0', 'k^-2_u^-1')	dudy	-2	0	0	k	-2	u	-1	0.04712402929532025	0.014262112825151179	4.7252279666196466e-05
149	('dudy^-2_0^0', 'k^-2_u^1')	dudy	-2	0	0	k	-2	u	1	0.12853257919827157	0.014036681913444836	0.00028909553047823947
150	('dudy^-2_0^0', 'k^-2_u^2')	dudy	-2	0	0	k	-2	u	2	0.13754305627481012	0.01264967348993469	0.00032790674596537214
151	('dudy^-2_0^0', 'k^-1_u^-2')	dudy	-2	0	0	k	-1	u	-2	0.0366537755792392	0.012762151984938037	1.0707549343041072e-05
152	('dudy^-2_0^0', 'k^-1_u^-1')	dudy	-2	0	0	k	-1	u	-1	0.0403706010467867	0.013216649999671896	1.5178016372876382e-05
153	('dudy^-2_0^0', 'k^-1_u^1')	dudy	-2	0	0	k	-1	u	1	0.1177997646557833	0.012328584810676065	0.00020761292180256457
154	('dudy^-2_0^0', 'k^-1_u^2')	dudy	-2	0	0	k	-1	u	2	0.12980209842771132	0.012291272671140168	0.000245724858249794
155	('dudy^-2_0^0', 'k^1_u^-2')	dudy	-2	0	0	k	1	u	-2	0.04059395217790672	0.012275578257528312	1.6409127504668338e-05
156	('dudy^-2_0^0', 'k^1_u^-1')	dudy	-2	0	0	k	1	u	-1	0.05837927952005475	0.012183206368955554	3.423033444058518e-05
157	('dudy^-2_0^0', 'k^1_u^1')	dudy	-2	0	0	k	1	u	1	0.045468520407960095	0.01565657581389036	3.0161666543805293e-05
158	('dudy^-2_0^0', 'k^1_u^2')	dudy	-2	0	0	k	1	u	2	0.06269206820016443	0.011992833778009035	2.9133174001958672e-05
159	('dudy^-2_0^0', 'k^2_u^-2')	dudy	-2	0	0	k	2	u	-2	0.04263004585117077	0.012361871499514003	1.73551467520234e-05
160	('dudy^-2_0^0', 'k^2_u^-1')	dudy	-2	0	0	k	2	u	-1	0.05340036969771643	0.013855114301509265	3.140560861362999e-05
